Rank,Company,Revenue ($B) USD,Employees,Country (Origin),Headquarters,Year
1,Amazon,637.9,1556000,US,"Seattle, Washington & Arlington, Virginia, US",2025
2,Apple,416.0,166100,US,"Cupertino, California, US",2025
3,Alphabet,350.0,190167,US,"Mountain View, California, US",2025
4,Microsoft,281.7,228000,US,"Redmond, Washington, US",2025
5,Samsung Electronics,220.3,270372,South Korea,"Suwon, South Korea",2025
6,Foxconn,213.9,767062,Taiwan,"New Taipei City, Taiwan",2025
7,Meta,164.5,78450,US,"Menlo Park, California, US",2025
8,Jingdong,158.8,620000,China,"Beijing, China",2025
9,Alibaba,137.3,124320,China,"Hangzhou, China & George Town, Cayman Islands",2025
10,Nvidia,130.5,36000,US,"Sunnyvale, California, US",2025
11,AT&T,122.3,140990,US,"Dallas, Texas, US",2025
12,Huawei,118.1,208000,China,"Shenzhen, China",2025
13,Deutsche Telekom,112.0,205000,Germany,"Bonn, Germany",2025
14,Dell Technologies,95.6,108000,US,"Round Rock, Texas, US",2025
15,Tencent,91.8,105417,China,"Shenzhen, China",2025
16,Sony,90.1,11300,Japan,"Tokyo, Japan",2025
17,TSMC,88.3,83825,Taiwan,"New Taipei City, Taiwan",2025
18,Hitachi,80.39,322525,Japan,"Tokyo, Japan",2025
19,Lenovo,69.0,72000,Hong Kong/ US,"Hong Kong China/Morrisville, North Carolina, US",2025
20,Accenture,64.9,774000,Ireland/ US,"Dublin, Ireland/New York, US",2025
21,IBM,62.7,270300,US,"Armonk, New York, US",2025
22,LG Electronics,57.7,75000,South Korea,"Seoul, South Korea",2025
23,Oracle,57.4,162000,US,"Austin, Texas, US",2025
24,Cisco,56.7,86200,US,"San Jose, California, US",2025
25,Panasonic,55.3,228420,Japan,"Kadoma, Osaka, Japan",2025
